fever,cough,headache,fatigue,chest_pain,joint_pain,sore_throat,shortness_of_breath,nausea,rash,disease
1,0,1,1,0,1,0,0,1,1,Chickenpox
1,1,1,1,0,1,0,0,0,1,Measles
1,0,1,1,0,1,1,0,0,1,Scarlet Fever
0,0,0,1,0,0,0,0,0,1,Eczema (Atopic Dermatitis)
0,0,0,1,0,1,0,0,0,1,Psoriasis
0,0,0,0,0,0,0,0,1,1,Urticaria (Hives)
0,0,0,0,0,0,0,0,0,1,Scabies
0,0,0,0,0,0,0,0,0,1,Ringworm (Tinea)
0,0,0,1,0,0,0,0,0,1,Contact Dermatitis
1,0,1,1,0,1,0,0,1,1,Rocky Mountain Spotted Fever
1,0,1,1,0,0,1,0,1,1,"Hand, Foot, and Mouth Disease"
0,0,0,0,0,0,0,0,0,1,Impetigo
1,0,0,1,0,1,0,0,0,1,Cellulitis
1,0,0,1,0,0,0,0,0,1,Roseola
0,0,1,1,0,1,0,0,0,1,Shingles (Herpes Zoster)
